id,drone_type,motor_count,motor_current,total_current,battery_capacity,usable_battery,estimated_time,total_weight,cruise_speed,max_distance,target_distance,can_reach
1,quad,4,16.66,35.87,14674,13203.54,8.88,2.04,13.92,6.67,9.27,NO
2,hexa,6,11.45,34.03,16271,13198.8,8.96,4.39,16.29,6.45,8.91,NO
3,octa,8,18.32,58.76,21617,19424.67,25.08,6.25,10.2,4.65,5.91,NO
4,octa,8,8.48,34.56,21531,19329.94,19.04,5.6,14.33,7.53,4.9,YES
5,hexa,6,12.09,31.95,9939,8686.73,28.18,2.98,8.06,9.93,2.35,YES
6,quad,4,15.79,25.98,16584,13494.81,27.76,4.1,21.07,11.06,5.66,YES
7,octa,8,17.34,76.14,19010,14060.71,27.27,2.87,8.56,11.99,3.82,YES
8,quad,4,17.32,33.5,15287,10825.66,23.55,2.18,17.94,5.16,4.51,YES
9,quad,4,11.72,19.67,11766,10254.72,8.9,6.1,14.83,6.61,8.31,NO
10,quad,4,17.08,36.79,20020,15204.46,12.92,5.8,20.24,8.68,7.25,YES
11,octa,8,13.89,58.35,13963,11676.32,12.81,5.34,19.76,8.13,4.62,YES
12,quad,4,13.71,29.54,8458,6098.44,26.51,6.36,20.15,6.4,4.11,YES
13,hexa,6,10.54,30.29,19517,14760.28,20.98,3.04,14.44,4.05,2.04,YES
14,octa,8,19.84,80.36,15708,11686.49,8.31,5.39,11.13,6.13,7.56,NO
15,quad,4,11.17,21.32,9128,7045.03,14.24,1.96,13.42,9.3,5.9,YES
16,octa,8,8.04,28.79,13403,11792.04,25.81,2.96,21.0,8.68,8.75,NO
17,hexa,6,14.88,43.65,21305,16324.59,31.41,5.33,11.88,11.14,9.96,YES
18,hexa,6,14.77,41.64,8270,6076.08,9.55,3.01,13.75,9.95,4.6,YES
19,quad,4,15.91,33.14,9668,8436.23,30.36,5.27,9.47,6.44,2.43,YES
20,octa,8,12.3,40.46,10657,8802.19,32.3,1.34,14.81,6.4,3.64,YES
21,octa,8,10.3,38.13,19721,15655.65,13.31,1.44,8.73,9.45,7.65,YES
22,hexa,6,13.44,41.87,8005,6973.25,8.65,1.24,17.69,9.16,7.95,YES
23,hexa,6,12.51,37.2,18190,15780.1,29.64,2.07,14.97,4.04,5.59,NO
24,hexa,6,19.17,46.46,14814,12810.86,18.78,3.02,19.8,4.53,7.28,NO
25,octa,8,11.42,37.5,17892,15825.46,30.61,2.87,9.26,8.29,5.35,YES
26,hexa,6,11.17,30.83,11956,9371.14,24.05,2.11,9.63,11.95,5.83,YES
27,octa,8,19.44,77.75,11094,8004.73,19.52,6.3,16.51,11.85,6.98,YES
28,quad,4,18.76,33.1,14538,10265.8,13.01,1.82,12.11,11.58,7.32,YES
29,hexa,6,13.57,45.19,16311,13595.47,28.2,5.44,18.31,8.22,6.51,YES
30,quad,4,8.2,15.47,14674,12468.73,8.39,2.45,20.24,9.67,9.84,NO
31,quad,4,17.3,28.28,13410,9968.49,20.34,3.73,11.61,8.85,9.19,NO
32,octa,8,14.06,47.45,17765,14855.2,19.87,2.06,12.03,6.27,6.66,NO
33,hexa,6,10.59,33.88,8616,7325.77,17.44,4.3,15.6,6.77,8.96,NO
34,hexa,6,18.19,54.06,10401,8982.88,24.43,4.44,12.82,6.39,6.04,YES
35,octa,8,14.37,53.68,20023,17656.02,19.68,4.89,14.47,6.58,2.85,YES
36,octa,8,11.75,45.0,14765,13048.47,19.44,1.31,18.71,6.49,4.77,YES
37,hexa,6,16.83,55.3,9662,8649.35,9.11,1.66,16.49,8.78,9.96,NO
38,hexa,6,16.85,52.2,16813,14393.07,32.44,2.64,17.89,5.97,5.21,YES
39,hexa,6,15.32,41.2,18431,16529.59,14.71,5.9,18.64,5.67,8.47,NO
40,octa,8,9.4,37.19,13648,10872.25,17.06,3.94,20.9,4.13,4.36,NO
